index,tag
505,1
345,1
1879,7
2079,9
394,1
2000,9
862,3
1753,2
212,0
1407,4
262,0
2132,9
1518,4
773,2
1122,3
327,1
2226,9
1460,4
1438,4
481,1
1959,8
426,1
1041,3
2225,9
1909,8
175,0
1856,7
1538,4
1270,4
1004,3
66,0
564,2
2121,9
890,3
547,2
371,1
1667,6
978,3
779,3
928,3
186,0
1964,8
1954,8
1622,5
1307,4
990,3
1699,6
61,0
359,1
1486,4
305,1
1501,4
605,2
102,0
909,3
273,0
1046,3
361,1
236,0
472,1
1807,7
1005,3
687,2
2084,9
159,0
1224,4
225,0
2034,9
260,0
1416,4
1743,6
1441,4
1129,3
756,2
622,2
1263,4
2208,9
1457,4
1558,5
1711,6
1824,7
246,0
835,3
1320,4
1890,8
1161,3
571,2
637,2
712,2
208,0
1974,8
54,0
1989,9
1799,7
1504,4
1546,5
2023,9
570,2
850,3
250,0
2118,9
1430,4
1101,3
124,0
504,1
1218,4
635,2
1562,5
2128,9
879,3
1896,8
166,0
1611,5
116,0
1555,5
266,0
1025,3
1668,6
425,1
1881,7
809,3
334,1
754,2
531,2
1814,7
398,1
1056,3
1747,6
49,0
510,1
2065,9
2026,9
736,2
1789,7
1459,4
1201,4
1703,6
477,1
1103,3
1831,7
1054,3
1873,7
503,1
1940,8
76,0
912,3
722,2
1144,3
152,0
699,2
925,3
567,2
1099,3
1821,7
1669,6
1750,6
1951,8
1483,4
849,3
289,0
533,2
1851,7
883,3
340,1
1090,3
224,0
1756,2
2200,9
2161,9
981,3
2139,9
307,1
474,1
801,3
476,1
1660,6
1604,5
765,2
357,1
299,1
277,0
438,1
866,3
1062,3
44,0
449,1
423,1
2123,9
1292,4
825,3
882,3
1933,8
848,3
711,2
1662,6
193,0
805,3
2025,9
949,3
301,1
1474,4
1751,2
1030,3
1328,4
87,0
375,1
1243,4
93,0
1414,4
1060,3
1523,4
1689,6
1759,2
857,3
600,2
366,1
1520,4
1912,8
1651,6
1170,4
243,0
1978,9
160,0
643,2
1539,4
876,3
539,2
1687,6
77,0
1889,7
1643,5
1376,4
746,2
121,0
1377,4
2068,9
1853,7
1710,6
1998,9
369,1
1624,5
1189,4
2061,9
568,2
1012,3
1512,4
861,3
339,1
2053,9
1273,4
1514,4
2115,9
5,0
991,3
689,2
1715,6
211,0
2,0
1100,3
1793,7
961,3
894,3
2099,9
937,3
1870,7
1011,3
1190,4
951,3
349,1
1716,6
1169,4
146,0
1040,3
1456,4
1733,6
1347,4
933,3
1663,6
1626,5
969,3
608,2
869,3
1932,8
1188,4
1607,5
1480,4
766,2
964,3
1298,4
1173,4
1435,4
621,2
499,1
309,1
1917,8
310,1
729,2
1728,6
827,3
1104,3
1948,8
1958,8
1080,3
377,1
1242,4
1550,5
1858,7
751,2
782,3
851,3
1911,8
1345,4
442,1
929,3
1102,3
2108,9
1581,5
1597,5
2135,9
496,1
558,2
1035,3
213,0
1211,4
117,0
840,3
1138,3
612,2
2166,9
1234,4
1740,6
1676,6
181,0
715,2
81,0
92,0
1326,4
1387,4
1172,4
661,2
550,2
1692,6
177,0
196,0
979,3
29,0
1935,8
1810,7
1478,4
1537,4
62,0
2212,9
732,2
1120,3
512,1
2075,9
1579,5
852,3
233,0
428,1
1773,7
2165,9
1300,4
1966,8
485,1
1451,4
1482,4
457,1
1073,3
984,3
847,3
1575,5
1192,4
641,2
2170,9
494,1
1553,5
920,3
279,0
843,3
234,0
1247,4
2078,9
1051,3
253,0
430,1
797,3
815,3
1492,4
1327,4
2064,9
918,3
1385,4
1277,4
222,0
1258,4
817,3
1619,5
1450,4
901,3
1842,7
1950,8
1123,3
604,2
194,0
2002,9
1199,4
881,3
97,0
2019,9
1839,7
317,1
182,0
589,2
2089,9
967,3
1335,4
167,0
1817,7
2176,9
705,2
803,3
1461,4
230,0
1564,5
46,0
2076,9
1977,9
952,3
1239,4
980,3
131,0
649,2
1495,4
2027,9
1792,7
791,3
168,0
154,0
544,2
821,3
1204,4
192,0
278,0
507,1
832,3
1337,4
915,3
2092,9
1946,8
580,2
878,3
1528,4
1548,5
1922,8
188,0
884,3
1445,4
1724,6
1399,4
2196,9
1772,7
1262,4
1109,3
1570,5
1938,8
2167,9
2190,9
1511,4
1701,6
1219,4
30,0
275,0
1091,3
1296,4
516,1
1429,4
747,2
1936,8
1317,4
910,3
221,0
708,2
2102,9
2059,9
419,1
187,0
169,0
989,3
11,0
2210,9
163,0
370,1
183,0
1464,4
2021,9
1623,5
274,0
294,1
2124,9
391,1
492,1
2117,9
1013,3
757,2
1318,4
1436,4
742,2
1198,4
1288,4
972,3
197,0
1943,8
1008,3
1175,4
514,1
1059,3
489,1
1947,8
551,2
1231,4
170,0
922,3
1613,5
1470,4
534,2
731,2
1166,3
982,3
1834,7
2085,9
1074,3
1723,6
1568,5
1016,3
1680,6
1448,4
2112,9
642,2
613,2
115,0
1378,4
1809,7
1394,4
1265,4
958,3
2110,9
1149,3
151,0
924,3
57,0
577,2
1591,5
452,1
710,2
728,2
703,2
1333,4
653,2
1934,8
1818,7
2007,9
877,3
2147,9
1988,9
1163,3
1659,6
2105,9
475,1
1084,3
1590,5
1848,7
2063,9
671,2
555,2
1774,7
1287,4
74,0
300,1
1775,7
743,2
1178,4
1895,8
1291,4
627,2
2015,9
214,0
719,2
1508,4
112,0
1666,6
885,3
1228,4
164,0
1620,5
1897,8
1159,3
67,0
905,3
1279,4
581,2
2186,9
396,1
332,1
1238,4
1401,4
36,0
776,3
634,2
1230,4
1830,7
986,3
2180,9
1283,4
176,0
360,1
1329,4
1691,6
1682,6
502,1
245,0
1665,6
2197,9
1453,4
700,2
646,2
1849,7
1835,7
893,3
1446,4
1009,3
1657,6
451,1
660,2
537,2
914,3
1266,4
1217,4
12,0
143,0
1369,4
1391,4
1845,7
2071,9
1717,6
814,3
1985,9
576,2
2095,9
1625,5
365,1
2098,9
1583,5
1076,3
2206,9
416,1
528,2
239,0
263,0
1637,5
987,3
1804,7
1714,6
304,1
1421,4
107,0
1521,4
1353,4
1049,3
762,2
1572,5
34,0
1285,4
2207,9
1706,6
118,0
331,1
1582,5
941,3
2036,9
1758,2
35,0
904,3
947,3
1106,3
1280,4
1158,3
648,2
611,2
1143,3
1840,7
1734,6
204,0
1631,5
874,3
845,3
288,0
1997,9
1892,8
173,0
125,0
1742,6
1244,4
1670,6
1694,6
1398,4
698,2
352,1
410,1
2201,9
1096,3
498,1
610,2
338,1
1713,6
1269,4
4,0
231,0
228,0
257,0
1527,4
764,2
1132,3
1324,4
1372,4
519,1
938,3
109,0
993,3
615,2
1600,5
1602,5
1250,4
1028,3
210,0
1693,6
688,2
586,2
720,2
1181,4
994,3
1203,4
800,3
1254,4
335,1
1965,8
1375,4
932,3
1672,6
1674,6
10,0
1087,3
971,3
240,0
887,3
108,0
1358,4
592,2
75,0
1484,4
1413,4
482,1
2107,9
1986,9
2159,9
1499,4
2231,9
464,1
1089,3
265,0
344,1
1953,8
2114,9
2213,9
138,0
1246,4
774,2
810,3
287,0
2042,9
2162,9
39,0
1877,7
399,1
500,1
960,3
1530,4
1086,3
2192,9
466,1
21,0
1044,3
1983,9
1819,7
1735,6
919,3
1967,8
2032,9
923,3
1045,3
1601,5
1648,6
1094,3
2130,9
84,0
1354,4
1540,4
2012,9
351,1
471,1
1757,2
841,3
8,0
2014,9
413,1
1930,8
484,1
716,2
691,2
1825,7
1420,4
322,1
944,3
27,0
2195,9
1614,5
1924,8
942,3
1531,4
768,2
1268,4
17,0
1612,5
314,1
836,3
1542,4
1349,4
134,0
1780,7
1034,3
735,2
975,3
392,1
1642,5
82,0
1082,3
2024,9
161,0
992,3
1552,5
227,0
1227,4
560,2
1605,5
820,3
2109,9
837,3
1024,3
1194,4
1440,4
1027,3
1712,6
389,1
2050,9
1697,6
429,1
347,1
1993,9
1097,3
921,3
407,1
968,3
2184,9
1332,4
2083,9
1661,6
2204,9
258,0
165,0
468,1
723,2
1415,4
1786,7
839,3
2080,9
2219,9
1476,4
1606,5
1801,7
647,2
772,2
1696,6
350,1
1361,4
1077,3
1481,4
1232,4
538,2
1020,3
184,0
1608,5
788,3
1770,6
409,1
875,3
1827,7
405,1
73,0
2229,9
895,3
2217,9
1072,3
867,3
488,1
1549,5
593,2
1727,6
721,2
270,0
199,0
1458,4
1906,8
247,0
566,2
1271,4
926,3
917,3
1423,4
654,2
1255,4
1979,9
1042,3
1803,7
269,0
31,0
303,1
1183,4
1635,5
2182,9
1108,3
1638,5
56,0
508,1
1443,4
1708,6
2199,9
1683,6
43,0
2175,9
58,0
2141,9
988,3
333,1
818,3
1992,9
372,1
1543,4
111,0
1771,6
725,2
587,2
1444,4
2052,9
1517,4
1152,3
33,0
1968,8
104,0
644,2
1001,3
493,1
158,0
1709,6
962,3
422,1
1274,4
415,1
2001,9
1749,6
28,0
1195,4
242,0
1469,4
1500,4
24,0
2177,9
78,0
91,0
907,3
139,0
650,2
328,1
229,0
1381,4
1063,3
251,0
1078,3
2138,9
354,1
1153,3
2174,9
2051,9
957,3
2151,9
2228,9
105,0
1191,4
2094,9
896,3
908,3
2218,9
1519,4
2209,9
1282,4
609,2
113,0
854,3
796,3
420,1
2189,9
1365,4
2136,9
100,0
1618,5
2145,9
2058,9
70,0
189,0
775,2
1390,4
1252,4
1114,3
1171,4
701,2
1595,5
445,1
1468,4
2056,9
1926,8
1202,4
623,2
172,0
759,2
655,2
1769,2
25,0
945,3
1379,4
424,1
1776,7
1995,9
532,2
771,2
597,2
1748,6
1400,4
1783,7
898,3
583,2
1206,4
1026,3
656,2
823,3
1151,3
959,3
2062,9
1507,4
1061,3
80,0
297,1
509,1
565,2
1141,3
1541,4
667,2
1808,7
385,1
2003,9
2211,9
1584,5
1433,4
1640,5
1850,7
2134,9
306,1
291,0
1316,4
1645,5
1704,6
2097,9
1781,7
40,0
1133,3
1907,8
1018,3
497,1
441,1
1366,4
1289,4
1829,7
1334,4
2187,9
1323,4
174,0
1205,4
418,1
1067,3
1576,5
16,0
1617,5
1215,4
599,2
1536,4
846,3
2009,9
1380,4
1754,2
434,1
1210,4
636,2
2181,9
373,1
2113,9
1155,3
495,1
1048,3
1146,3
1284,4
1131,3
548,2
308,1
1571,5
205,0
1057,3
1351,4
403,1
14,0
2044,9
1872,7
286,0
1105,3
1865,7
1782,7
530,2
1921,8
2232,9
733,2
1806,7
1569,5
1426,4
1700,6
1852,7
1545,5
1905,8
582,2
1698,6
2222,9
681,2
997,3
598,2
930,3
935,3
1975,9
1578,5
1038,3
1685,6
523,2
2004,9
1526,4
607,2
1815,7
1427,4
1916,8
400,1
822,3
761,2
1278,4
132,0
13,0
99,0
1554,5
2005,9
2028,9
1168,4
1525,4
180,0
148,0
2127,9
1257,4
1493,4
678,2
1364,4
411,1
1857,7
546,2
2039,9
459,1
1497,4
1677,6
1314,4
739,2
830,3
2224,9
52,0
1826,7
1462,4
1154,3
2215,9
2104,9
1236,4
293,0
1276,4
1325,4
325,1
1627,5
1136,3
103,0
1765,2
1544,5
1301,4
470,1
1828,7
1496,4
1128,3
1293,4
96,0
1124,3
1411,4
1639,5
1127,3
911,3
758,2
676,2
374,1
886,3
1910,8
1795,7
2221,9
2173,9
343,1
563,2
763,2
527,2
1599,5
1471,4
2040,9
1573,5
127,0
1126,3
1901,8
462,1
692,2
1207,4
461,1
1118,3
1737,6
1261,4
562,2
872,3
1085,3
1290,4
202,0
1286,4
456,1
900,3
741,2
1117,3
1861,7
217,0
807,3
795,3
1790,7
816,3
412,1
1506,4
1150,3
302,1
382,1
833,3
1592,5
1485,4
906,3
318,1
2157,9
1367,4
683,2
1037,3
1675,6
855,3
2006,9
101,0
1107,3
2220,9
561,2
2133,9
1374,4
473,1
119,0
130,0
1422,4
1022,3
150,0
1684,6
1396,4
1340,4
433,1
617,2
1908,8
427,1
1066,3
1846,7
1098,3
145,0
724,2
155,0
18,0
42,0
2066,9
1656,6
880,3
114,0
1112,3
436,1
1043,3
1346,4
1491,4
330,1
524,2
1110,3
542,2
515,1
1208,4
1145,3
323,1
1079,3
1633,5
1632,5
1585,5
1914,8
1939,8
1260,4
865,3
1241,4
1245,4
1854,7
284,0
2122,9
395,1
137,0
601,2
2018,9
535,2
630,2
595,2
1981,9
1119,3
267,0
1174,4
2088,9
2008,9
20,0
356,1
584,2
1237,4
1449,4
1524,4
1800,7
559,2
769,2
970,3
1862,7
1442,4
573,2
1741,6
631,2
540,2
1000,3
2060,9
467,1
1315,4
122,0
864,3
1904,8
1796,7
431,1
149,0
1755,2
588,2
1424,4
220,0
249,0
47,0
1272,4
1437,4
446,1
1972,8
1111,3
1952,8
1990,9
1837,7
1681,6
1177,4
2185,9
713,2
2125,9
1092,3
1007,3
207,0
2143,9
892,3
1634,5
1081,3
798,3
983,3
628,2
651,2
1389,4
943,3
1350,4
1023,3
2178,9
956,3
1813,7
1920,8
1432,4
1053,3
1885,7
1987,9
2070,9
1628,5
1336,4
232,0
2164,9
248,0
387,1
1039,3
1918,8
1652,6
414,1
380,1
704,2
1509,4
1434,4
1259,4
1405,4
135,0
1212,4
1363,4
685,2
218,0
1577,5
1646,5
1503,4
591,2
1641,5
110,0
1160,3
1738,6
526,2
1551,5
1466,4
1688,6
1802,7
147,0
632,2
1065,3
1031,3
1971,8
88,0
1823,7
748,2
738,2
1686,6
1425,4
1313,4
831,3
79,0
674,2
1003,3
1275,4
201,0
750,2
53,0
2010,9
693,2
1868,7
408,1
513,1
315,1
1816,7
1010,3
819,3
381,1
2198,9
94,0
1636,5
1412,4
662,2
140,0
261,0
1957,8
98,0
785,3
223,0
447,1
897,3
790,3
1083,3
1942,8
1869,7
1931,8
443,1
521,1
1887,7
1235,4
2131,9
486,1
171,0
1836,7
2069,9
2047,9
606,2
682,2
38,0
966,3
2183,9
1725,6
1736,6
1720,6
2031,9
868,3
2082,9
386,1
1876,7
1297,4
996,3
1348,4
256,0
1302,4
1494,4
1695,6
292,0
745,2
596,2
1791,7
714,2
106,0
1368,4
142,0
1197,4
2129,9
1338,4
2154,9
730,2
1137,3
974,3
525,2
1135,3
2054,9
460,1
1956,8
45,0
41,0
1760,2
2152,9
1505,4
640,2
670,2
1962,8
1281,4
390,1
1142,3
435,1
271,0
1812,7
1705,6
2011,9
1820,7
755,2
1596,5
1963,8
1658,6
752,2
860,3
1996,9
1359,4
1937,8
786,3
1417,4
1533,4
51,0
1563,5
624,2
1898,8
1522,4
2022,9
1373,4
1395,4
1134,3
666,2
329,1
1778,7
238,0
1312,4
1960,8
2091,9
1768,2
657,2
490,1
1050,3
665,2
179,0
1822,7
578,2
463,1
684,2
1878,7
432,1
1762,2
616,2
1032,3
1559,5
679,2
1185,4
89,0
2111,9
536,2
2188,9
1249,4
483,1
2101,9
1116,3
1125,3
1593,5
1718,6
985,3
1418,4
1064,3
353,1
153,0
1766,2
694,2
590,2
638,2
1899,8
1649,6
1403,4
1216,4
2030,9
579,2
296,1
889,3
1344,4
891,3
2160,9
2158,9
1180,4
402,1
362,1
602,2
1331,4
1560,5
1860,7
2057,9
283,0
902,3
2202,9
1139,3
206,0
1015,3
675,2
2073,9
1002,3
1355,4
1303,4
1356,4
695,2
2203,9
1304,4
1196,4
696,2
2172,9
1384,4
1884,7
59,0
32,0
64,0
1678,6
401,1
812,3
603,2
336,1
658,2
6,0
1319,4
2144,9
998,3
136,0
1886,7
633,2
3,0
1343,4
1784,7
2029,9
1580,5
2020,9
316,1
778,3
1955,8
2146,9
709,2
348,1
190,0
965,3
450,1
557,2
1928,8
0,0
1603,5
157,0
1370,4
2072,9
522,1
1761,2
1167,4
1745,6
1805,7
931,3
2045,9
2214,9
1894,8
1213,4
740,2
977,3
259,0
1157,3
191,0
1903,8
1855,7
1309,4
1193,4
946,3
439,1
842,3
1222,4
1866,7
128,0
792,3
83,0
379,1
1875,7
1467,4
2156,9
1452,4
501,1
784,3
2148,9
1229,4
697,2
1299,4
1630,5
1882,7
1629,5
1859,7
939,3
1516,4
185,0
1976,9
1729,6
2142,9
2016,9
1036,3
663,2
1477,4
440,1
2100,9
1732,6
1913,8
1455,4
458,1
1162,3
1267,4
844,3
1386,4
2205,9
1431,4
1017,3
1653,6
1371,4
319,1
282,0
2106,9
1863,7
620,2
479,1
1969,8
1402,4
60,0
706,2
393,1
1561,5
659,2
404,1
1980,9
1187,4
856,3
899,3
312,1
